,mes,ano,ano_mes,estoque,exportacao,processamento,compra_liquida,saldo,producao,chicago_cbot_u$/t,fob_porto_paranagua_u$/t,maringa_r$/saca,mogiana_r$/saca,passofundo_r$/saca,rondonopolis_r$/saca
277,Fev,2010,2010-02-01,7472.718521,664.0,2456.156621,8159.875142,12512.437042,68919.0,345.406854,360.105018,33.875,34.8,38.375,29.8
278,Mar,2010,2010-03-01,13944.22736,3086.0,3276.337524,9747.846367,17329.736203000004,68919.0,347.9560668,355.5807394,32.775,33.2,35.125,28.875
279,Abr,2010,2010-04-01,15611.58807,4913.0,3422.77349,5090.134196,12365.948776000001,68919.0,359.8355517,368.6544501,33.92,32.98,34.54,29.36
280,Mai,2010,2010-05-01,13838.46006,5696.0,3532.627304,1759.499289,6369.332044999999,68919.0,353.0009054,363.2896202,34.93333333,33.5,36.9,30.0
281,Jun,2010,2010-06-01,12510.2873,4040.0,3374.342006,2046.169252,7142.114546,68919.0,348.5485866,358.3963564,34.175,32.625,36.675,30.4
282,Jul,2010,2010-07-01,10747.7045,3999.0,3480.145601,1717.562802,4986.121701,68919.0,366.7191918,404.5669641,36.875,35.75,38.25,33.95
283,Ago,2010,2010-08-01,8341.578292,2966.0,3256.21978,850.0935695,2969.452081500001,68919.0,374.803182,419.6325822,40.33333333,39.5,40.93333333,38.6
284,Set,2010,2010-09-01,6338.263708,2009.0,2909.701334,906.38675,2325.949124,68919.0,384.3569886,442.0472823,40.175,41.375,42.5,40.275
285,Out,2010,2010-10-01,4867.574674,1013.0,3021.952233,1551.263199,2383.8856400000004,68919.0,417.7953117,458.9501709,42.3,42.375,43.3,42.25
286,Nov,2010,2010-11-01,3485.147353,301.0,2949.242594,1566.815273,1801.7200319999997,68919.0,460.7874414,492.0210399,46.25,44.5,45.95,46.5
287,Dez,2010,2010-12-01,2255.47983,293.0,2059.338202,829.6706791,732.8123071000005,68919.0,482.8346874,517.7428269,47.33333333,45.83333333,47.5,46.36666667
288,Jan,2011,2011-01-01,1297.881079,208.0,1962.16331,1004.564559,132.28232800000023,75248.0,514.8031941,539.0551647,47.9,47.6,49.6,44.5
289,Fev,2011,2011-02-01,5491.036867,225.0,2510.467341,6703.504208,9459.073734000001,75248.0,512.9659236,528.0315417,46.875,47.25,48.5,42.625
290,Mar,2011,2011-03-01,14582.88797,2734.0,3186.094378,12277.94548,20940.739071999997,75248.0,492.7559481,501.5748465,45.425,45.9,46.625,42.1
291,Abr,2011,2011-04-01,17946.55552,5090.0,3535.517065,6899.184613,16220.223068000003,75248.0,498.8189408,501.2073924,43.225,42.675,44.7,39.9
292,Mai,2011,2011-05-01,16618.14523,5306.0,3652.889967,2324.479681,9983.734944,75248.0,499.7605419,504.9048993,42.3,41.5,44.125,39.825
293,Jun,2011,2011-06-01,14518.09541,4554.0,3547.709587,1447.659771,7864.045594000001,75248.0,500.4724842,512.5984695,42.8,42.525,44.4,40.825
294,Jul,2011,2011-07-01,12208.703,3738.0,3451.174535,1141.78212,6161.310584999999,75248.0,500.7480748,530.7874475,42.925,43.225,44.775,40.4
295,Ago,2011,2011-08-01,10495.44541,3682.0,3072.865765,1359.608173,5100.187818,75248.0,496.4304891,526.1942712,44.425,43.125,46.1,41.525
296,Set,2011,2011-09-01,8941.372777,2798.0,3381.209117,1827.136487,4589.300147,75248.0,491.2861317,507.086658,47.125,45.75,48.675,44.95
297,Out,2011,2011-10-01,7134.002276,1413.0,3384.688796,1577.318295,3913.6317750000003,75248.0,442.7821905,467.0341611,45.95,44.45,46.925,43.775
298,Nov,2011,2011-11-01,5006.837758,1759.0,2896.034264,768.8697458,1120.6732397999995,75248.0,433.3891451,449.0978078,43.375,43.25,45.425,42.075
299,Dez,2011,2011-12-01,3034.338415,1470.0,2689.357347,716.8580039,-408.1609281000001,75248.0,428.382583,443.080747,43.66666667,42.33333333,44.43333333,40.86666667
300,Jan,2012,2012-01-01,2705.55839,1012.0,1955.991838,1627.211814,1364.7783660000005,67920.0,443.7008258,463.1758931,45.2,42.3,46.38,41.04
301,Fev,2012,2012-02-01,8025.517288,1568.0,3021.38195,8340.899238,11777.034576000002,67920.0,457.4803545,485.4987296,45.925,42.7,47.15,40.325
302,Mar,2012,2012-03-01,15195.27215,4237.0,3535.531142,10705.286,18128.027008,67920.0,495.9711715,521.1417773,50.825,50.25,53.25,46.575
303,Abr,2012,2012-04-01,18839.20429,4431.0,3653.457836,7297.389982,18052.136436,67920.0,527.0669747,553.7073969,54.95,53.775,57.125,52.0
304,Mai,2012,2012-05-01,18026.18707,7275.0,3799.120177,2986.102955,9938.169847999998,67920.0,523.5991266,549.9639583,58.2,55.5,60.2,57.125
305,Jun,2012,2012-06-01,16235.3885,4841.0,3535.582656,1744.784083,9603.589926999999,67920.0,526.8602818,565.5348258,61.06,57.4,62.3,60.14
