,datetime,symbol,open,high,low,close,ano,mes
315,1997-01-12,USDBRL,1.0417,1.054,1.0417,1.0425,1997,1
316,1997-01-19,USDBRL,1.0425,1.0543,1.041,1.0543,1997,1
317,1997-01-26,USDBRL,1.0438,1.056,1.0436,1.056,1997,1
318,1997-02-02,USDBRL,1.045,1.0485,1.04,1.0455,1997,2
319,1997-02-09,USDBRL,1.0473,1.056,1.0455,1.0471,1997,2
320,1997-02-16,USDBRL,1.044,1.0599,1.044,1.0486,1997,2
321,1997-02-23,USDBRL,1.0503,1.0601,1.0475,1.0517,1997,2
322,1997-03-02,USDBRL,1.0511,1.0626,1.0475,1.05,1997,3
323,1997-03-09,USDBRL,1.0528,1.0603,1.05,1.0515,1997,3
324,1997-03-16,USDBRL,1.0593,1.0611,1.056,1.056,1997,3
325,1997-03-23,USDBRL,1.0616,1.0692,1.055,1.055,1997,3
326,1997-03-30,USDBRL,1.0595,1.0694,1.053,1.0694,1997,3
327,1997-04-06,USDBRL,1.0582,1.0701,1.0581,1.0701,1997,4
328,1997-04-13,USDBRL,1.0599,1.0706,1.0599,1.0706,1997,4
329,1997-04-20,USDBRL,1.062,1.0662,1.0612,1.0662,1997,4
330,1997-04-27,USDBRL,1.0627,1.0662,1.0618,1.0618,1997,4
331,1997-05-04,USDBRL,1.0644,1.0652,1.0621,1.0652,1997,5
332,1997-05-11,USDBRL,1.0676,1.0676,1.0625,1.0657,1997,5
333,1997-05-18,USDBRL,1.0674,1.0705,1.0661,1.0705,1997,5
334,1997-05-25,USDBRL,1.0705,1.0723,1.0705,1.0723,1997,5
335,1997-06-01,USDBRL,1.071,1.0725,1.0663,1.069,1997,6
336,1997-06-08,USDBRL,1.0726,1.073,1.069,1.0725,1997,6
337,1997-06-15,USDBRL,1.065,1.0795,1.065,1.0795,1997,6
338,1997-06-22,USDBRL,1.065,1.078,1.065,1.065,1997,6
339,1997-06-29,USDBRL,1.065,1.08,1.065,1.08,1997,6
340,1997-07-06,USDBRL,1.08,1.08,1.0763,1.08,1997,7
341,1997-07-13,USDBRL,1.08,1.0811,1.08,1.0811,1997,7
342,1997-07-20,USDBRL,1.08,1.08,1.08,1.08,1997,7
343,1997-07-27,USDBRL,1.08,1.083,1.08,1.083,1997,7
344,1997-08-03,USDBRL,1.08,1.0834,1.08,1.0834,1997,8
345,1997-08-10,USDBRL,1.08,1.0835,1.08,1.08,1997,8
346,1997-08-17,USDBRL,1.0865,1.0925,1.08,1.0905,1997,8
347,1997-08-24,USDBRL,1.092,1.0925,1.089,1.089,1997,8
348,1997-08-31,USDBRL,1.0925,1.0925,1.0895,1.0895,1997,8
